Ethnic,Year,Mean Monthly Household Gross Income
Bumiputera,2002,2376
Bumiputera,2004,2711
Bumiputera,2007,3156
Bumiputera,2009,3624
Bumiputera,2012,4457
Bumiputera,2014,5548
Bumiputera,2016,6267
Bumiputera,2019,7093
Chinese,2002,4279
Chinese,2004,4437
Chinese,2007,4853
Chinese,2009,5011
Chinese,2012,6366
Chinese,2014,7666
Chinese,2016,8750
Chinese,2019,9895
Indians,2002,3044
Indians,2004,3456
Indians,2007,3799
Indians,2009,3999
Indians,2012,5233
Indians,2014,6246
Indians,2016,7150
Indians,2019,8216
Others,2002,2165
Others,2004,2312
Others,2007,3561
Others,2009,3640
Others,2012,3843
Others,2014,6011
Others,2016,4951
Others,2019,5933
